datetime	web1 hit rate
2011/04/22 16:01:00	1.1
2011/04/22 16:10:00	37.633
2011/04/22 16:10:30	257.167
2011/04/22 16:11:00	291.333
2011/04/22 16:11:30	518.233
2011/04/22 16:12:00	629.267
2011/04/22 16:12:30	759.2
2011/04/22 16:13:00	857.733
2011/04/22 16:13:30	1007.633
2011/04/22 16:14:00	991.2
2011/04/22 16:14:30	1087.367
2011/04/22 16:15:00	986.633
2011/04/22 16:15:30	1154.033
2011/04/22 16:16:00	1031
2011/04/22 16:16:30	1120.233
2011/04/22 16:17:00	1054.3
2011/04/22 16:17:30	1122.667
2011/04/22 16:18:00	1089
2011/04/22 16:18:30	1038.933
2011/04/22 16:19:00	1129.667
2011/04/22 16:19:30	1075.3
2011/04/22 16:20:00	1128.5
2011/04/22 16:20:30	1349.867
2011/04/22 16:21:00	1676.167
2011/04/22 16:21:30	1715.133
2011/04/22 16:22:00	1739.1
2011/04/22 16:22:30	1801
2011/04/22 16:23:00	1774.967
2011/04/22 16:23:30	1855.467
2011/04/22 16:24:00	1759.833
2011/04/22 16:24:30	1868.833
2011/04/22 16:25:00	1809.667
2011/04/22 16:25:30	2180.233
2011/04/22 16:26:00	2155.5
2011/04/22 16:26:30	2402
2011/04/22 16:27:00	2385.133
2011/04/22 16:27:30	2330.033
2011/04/22 16:28:00	2389.967
2011/04/22 16:28:30	2309.467
2011/04/22 16:29:00	2417.4
2011/04/22 16:29:30	2358.367
2011/04/22 16:30:00	2165.433
2011/04/22 16:30:30	2369.267
2011/04/22 16:31:00	2266.133
2011/04/22 16:31:30	2403.6
2011/04/22 16:32:00	2253.667
2011/04/22 16:32:30	2401.9
2011/04/22 16:33:00	2390.867
2011/04/22 16:33:30	2377.933
2011/04/22 16:34:00	2333.3
2011/04/22 16:34:30	2384
2011/04/22 16:35:00	2182.967
2011/04/22 16:35:30	2387.367
2011/04/22 16:36:00	2310
2011/04/22 16:36:30	2433.5
2011/04/22 16:37:00	2244.433
2011/04/22 16:37:30	2287.567
2011/04/22 16:38:00	2327.233
2011/04/22 16:38:30	2333.6
2011/04/22 16:39:00	2379.267
2011/04/22 16:39:30	2387.6
2011/04/22 16:40:00	2231.767
2011/04/22 16:40:30	2390.667
2011/04/22 16:41:00	2356.967
2011/04/22 16:41:30	2419.267
2011/04/22 16:42:00	2324.933
2011/04/22 16:42:30	2100.867
2011/04/22 16:43:00	2440.267
2011/04/22 16:43:30	2225.467
2011/04/22 16:44:00	2356.667
2011/04/22 16:44:30	2332.067
2011/04/22 16:45:00	2303.9
2011/04/22 16:45:30	2316.9
2011/04/22 16:46:00	2315.733
2011/04/22 16:46:30	2393.933
2011/04/22 16:47:00	2325.3
2011/04/22 16:47:30	2266.1
2011/04/22 16:48:00	2514.267
2011/04/22 16:48:30	2323.033
2011/04/22 16:49:00	2396.933
2011/04/22 16:49:30	2338.133
2011/04/22 16:50:00	2300.867
2011/04/22 16:50:30	2332.967
2011/04/22 16:51:00	2351.433
2011/04/22 16:51:30	2379.533
2011/04/22 16:52:00	2396.567
2011/04/22 16:52:30	2360.733
2011/04/22 16:53:00	2466.2
2011/04/22 16:53:30	2374.867
2011/04/22 16:54:00	2438.567
2011/04/22 16:54:30	2375.3
2011/04/22 16:55:00	2352.6
2011/04/22 16:55:30	2502.2
2011/04/22 16:56:00	2361.267
2011/04/22 16:56:30	2406.3
2011/04/22 16:57:00	2173.067
2011/04/22 16:57:30	2389.167
2011/04/22 16:58:00	2439.733
2011/04/22 16:58:30	2464.6
2011/04/22 16:59:00	2331.5
2011/04/22 16:59:30	2403.8
2011/04/22 17:00:00	2255.567
2011/04/22 17:00:30	2390.767
2011/04/22 17:01:00	2245.867
2011/04/22 17:01:30	2386.167
2011/04/22 17:02:00	2400.033
2011/04/22 17:02:30	2304.2
2011/04/22 17:03:00	2438.1
2011/04/22 17:03:30	2389.567
2011/04/22 17:04:00	2351.733
2011/04/22 17:04:30	2379.467
2011/04/22 17:05:00	1806.767
2011/04/22 17:05:30	2291.333
2011/04/22 17:06:00	2378.567
2011/04/22 17:06:30	2327.7
2011/04/22 17:07:00	2342.767
2011/04/22 17:07:30	2432.3
2011/04/22 17:08:00	2371.133
2011/04/22 17:08:30	2438.133
2011/04/22 17:09:00	2397.7
2011/04/22 17:09:30	2443.433
2011/04/22 17:10:00	2314.633
2011/04/22 17:10:30	2495.1
2011/04/22 17:11:00	2429.833
2011/04/22 17:11:30	2448.6
2011/04/22 17:12:00	2401.133
2011/04/22 17:12:30	2296.5
2011/04/22 17:13:00	2552.767
2011/04/22 17:13:30	2390.1
2011/04/22 17:14:00	2411.3
2011/04/22 17:14:30	2366.3
2011/04/22 17:15:00	2163.767
2011/04/22 17:15:30	2252.5
2011/04/22 17:16:00	2287
2011/04/22 17:16:30	2406.667
2011/04/22 17:17:00	2283.4
2011/04/22 17:17:30	2244.033
2011/04/22 17:18:00	2592
2011/04/22 17:18:30	2323.433
2011/04/22 17:19:00	2458.933
2011/04/22 17:19:30	2189.067
2011/04/22 17:20:00	2215.6
2011/04/22 17:20:30	2425.067
2011/04/22 17:21:00	2277.667
2011/04/22 17:21:30	2401.967
2011/04/22 17:22:00	2343.567
2011/04/22 17:22:30	2425.9
2011/04/22 17:23:00	2372.867
2011/04/22 17:23:30	2301.867
2011/04/22 17:24:00	2458.867
2011/04/22 17:24:30	2418.733
2011/04/22 17:25:00	2424.433
2011/04/22 17:25:30	2424.4
2011/04/22 17:26:00	2261.533
2011/04/22 17:26:30	2484.667
2011/04/22 17:27:00	2368.2
2011/04/22 17:27:30	2512.133
2011/04/22 17:28:00	2400.967
2011/04/22 17:28:30	2420.133
2011/04/22 17:29:00	2455.433
2011/04/22 17:29:30	2233.067
2011/04/22 17:30:00	2402.933
2011/04/22 17:30:30	2395.033
2011/04/22 17:31:00	2225.7
2011/04/22 17:31:30	2462.233
2011/04/22 17:32:00	2361.167
2011/04/22 17:32:30	2548.867
2011/04/22 17:33:00	2387.133
2011/04/22 17:33:30	2469.8
2011/04/22 17:34:00	2413.267
2011/04/22 17:34:30	2343.5
2011/04/22 17:35:00	2424.2
2011/04/22 17:35:30	2418.233
2011/04/22 17:36:00	2238.067
2011/04/22 17:36:30	2395.667
2011/04/22 17:37:00	2320.7
2011/04/22 17:37:30	2473.033
2011/04/22 17:38:00	2348.067
2011/04/22 17:38:30	2317.133
2011/04/22 17:39:00	2394.4
2011/04/22 17:39:30	2272.2
2011/04/22 17:40:00	2329.1
2011/04/22 17:40:30	2357.2
2011/04/22 17:41:00	2343.9
2011/04/22 17:41:30	2429.4
2011/04/22 17:42:00	1916.833
2011/04/22 17:42:30	1385.5
2011/04/22 17:43:00	1400.267
2011/04/22 17:43:30	1446.967
2011/04/22 17:44:00	1454.533
2011/04/22 17:44:30	1384.033
2011/04/22 17:45:00	1295.733
2011/04/22 17:45:30	1313.567
2011/04/22 17:46:00	1383.2
2011/04/22 17:46:30	1441.4
2011/04/22 17:47:00	1455.267
2011/04/22 17:47:30	1411.967
2011/04/22 17:48:00	1391.867
2011/04/22 17:48:30	1338
2011/04/22 17:49:00	1427.467
2011/04/22 17:49:30	1389.867
2011/04/22 17:50:00	1458.267
2011/04/22 17:50:30	1390.767
2011/04/22 17:51:00	1376.033
2011/04/22 17:51:30	1299.967
2011/04/22 17:52:00	1332.1
2011/04/22 17:52:30	1430.333
2011/04/22 17:53:00	1424.667
2011/04/22 17:53:30	788.733
2011/04/22 17:54:00	617.2
2011/04/22 17:54:30	621.633
2011/04/22 17:55:00	536.2
2011/04/22 17:55:30	520.4
2011/04/22 17:56:00	536.6
2011/04/22 17:56:30	568.8
2011/04/22 17:57:00	544.9
2011/04/22 17:57:30	563.133
2011/04/22 17:58:00	525.533
2011/04/22 17:58:30	563.133
2011/04/22 17:59:00	557.233
2011/04/22 17:59:30	588.6
2011/04/22 18:00:00	527.267
2011/04/22 18:00:30	532.7
2011/04/22 18:01:00	566.533
2011/04/22 18:01:30	530.333
2011/04/22 18:02:00	502.833
2011/04/22 18:02:30	479.9
2011/04/22 18:03:00	429.933
2011/04/22 18:03:30	482.133
2011/04/22 18:04:00	517.167
2011/04/22 18:04:30	569.367
2011/04/22 18:05:00	684.833
2011/04/22 18:05:30	596.433
2011/04/22 18:06:00	504.4
2011/04/22 18:06:30	454.733
2011/04/22 18:07:00	458.967
2011/04/22 18:07:30	516.4
2011/04/22 18:08:00	630.533
2011/04/22 18:08:30	618.433
2011/04/22 18:09:00	535.433
2011/04/22 18:09:30	510
2011/04/22 18:10:00	505.067
2011/04/22 18:10:30	510.433
2011/04/22 18:11:00	549.7
2011/04/22 18:11:30	556.233
2011/04/22 18:12:00	449.367
2011/04/22 18:12:30	368.8
2011/04/22 18:13:00	273.933
2011/04/22 18:13:30	267.7
2011/04/22 18:14:00	269.533
2011/04/22 18:14:30	156.8
2011/04/22 18:15:00	62.967
2011/04/22 18:15:30	41.1
2011/04/22 18:16:00	14.2
2011/04/22 18:16:30	1.333
