DateTime	unixsysstat__zeushost-sys__UsedTime
06/11/2009 16:07:28.996	19
06/11/2009 16:07:31.954	11
06/11/2009 16:07:37.143	26
06/11/2009 16:07:41.962	38
06/11/2009 16:07:46.950	52
06/11/2009 16:07:51.945	31
06/11/2009 16:08:02.053	46
06/11/2009 16:08:07.256	52
06/11/2009 16:08:12.099	49
06/11/2009 16:08:16.989	60
06/11/2009 16:08:22.064	35
06/11/2009 16:08:27.087	25
06/11/2009 16:08:32.047	63
06/11/2009 16:08:37.025	39
06/11/2009 16:08:41.981	51
06/11/2009 16:08:46.999	40
06/11/2009 16:08:51.992	37
06/11/2009 16:08:57.001	41
06/11/2009 16:09:01.985	28
06/11/2009 16:09:07.006	21
06/11/2009 16:09:11.988	0
06/11/2009 16:09:17.008	2
06/11/2009 16:09:22.004	1
06/11/2009 16:09:27.012	0
06/11/2009 16:09:47.015	4
06/11/2009 16:09:52.009	5
06/11/2009 16:10:02.024	3
06/11/2009 16:10:07.019	1
06/11/2009 16:10:17.307	7
06/11/2009 16:10:22.034	2
06/11/2009 16:10:32.077	1
06/11/2009 16:10:42.042	5
06/11/2009 16:10:47.044	3
06/11/2009 16:10:52.033	1
06/11/2009 16:11:07.031	2
06/11/2009 16:11:12.037	1
06/11/2009 16:11:17.054	3
06/11/2009 16:11:22.053	1
06/11/2009 16:11:27.045	2
06/11/2009 16:11:32.057	19
06/11/2009 16:11:37.039	12
06/11/2009 16:11:42.061	11
06/11/2009 16:11:47.115	15
06/11/2009 16:11:52.051	36
06/11/2009 16:11:57.062	16
06/11/2009 16:12:02.052	22
06/11/2009 16:12:07.071	15
06/11/2009 16:12:12.369	12
06/11/2009 16:12:17.070	15
06/11/2009 16:12:22.148	22
06/11/2009 16:12:27.102	16
06/11/2009 16:12:32.092	11
06/11/2009 16:12:37.068	10
06/11/2009 16:12:42.078	14
06/11/2009 16:12:47.078	10
06/11/2009 16:12:52.065	7
06/11/2009 16:12:57.085	8
06/11/2009 16:13:07.093	7
06/11/2009 16:13:12.090	10
06/11/2009 16:13:17.094	18
06/11/2009 16:13:22.089	14
06/11/2009 16:13:27.098	12
06/11/2009 16:13:32.103	7
06/11/2009 16:13:37.103	25
06/11/2009 16:13:42.106	58
06/11/2009 16:13:47.121	40
06/11/2009 16:13:52.506	19
06/11/2009 16:13:57.120	13
06/11/2009 16:14:02.175	22
06/11/2009 16:14:07.186	26
06/11/2009 16:14:12.124	29
06/11/2009 16:14:17.633	38
06/11/2009 16:14:22.213	30
06/11/2009 16:14:27.224	17
06/11/2009 16:14:32.370	28
06/11/2009 16:14:37.222	22
06/11/2009 16:14:42.215	18
06/11/2009 16:14:47.238	15
06/11/2009 16:14:52.230	19
06/11/2009 16:14:57.225	18
06/11/2009 16:15:02.235	10
06/11/2009 16:15:07.241	27
06/11/2009 16:15:12.251	28
06/11/2009 16:15:17.247	24
06/11/2009 16:15:22.246	30
06/11/2009 16:15:27.257	31
06/11/2009 16:15:32.261	20
06/11/2009 16:15:37.608	27
06/11/2009 16:15:42.269	34
06/11/2009 16:15:47.439	22
06/11/2009 16:15:52.526	19
06/11/2009 16:15:57.288	38
06/11/2009 16:16:02.422	20
06/11/2009 16:16:07.274	50
06/11/2009 16:16:12.317	52
06/11/2009 16:16:17.303	30
06/11/2009 16:16:22.280	18
06/11/2009 16:16:32.276	30
06/11/2009 16:16:37.292	21
06/11/2009 16:16:42.291	26
06/11/2009 16:16:47.294	18
06/11/2009 16:16:52.284	25
06/11/2009 16:16:57.348	21
06/11/2009 16:17:02.306	24
06/11/2009 16:17:07.408	20
06/11/2009 16:17:12.307	19
06/11/2009 16:17:17.295	21
06/11/2009 16:17:23.393	37
06/11/2009 16:17:27.335	19
06/11/2009 16:17:32.301	28
06/11/2009 16:17:37.880	33
06/11/2009 16:17:42.325	39
06/11/2009 16:17:47.327	34
06/11/2009 16:17:52.324	20
06/11/2009 16:17:57.320	25
06/11/2009 16:18:02.325	17
06/11/2009 16:18:07.376	19
06/11/2009 16:18:12.317	21
06/11/2009 16:18:22.326	33
06/11/2009 16:18:27.332	21
06/11/2009 16:18:32.324	29
06/11/2009 16:18:37.320	24
06/11/2009 16:18:42.342	18
06/11/2009 16:18:47.326	39
06/11/2009 16:18:52.321	31
06/11/2009 16:18:57.347	13
06/11/2009 16:19:02.333	29
06/11/2009 16:19:07.621	18
06/11/2009 16:19:13.229	40
06/11/2009 16:19:17.355	34
06/11/2009 16:19:22.377	26
06/11/2009 16:19:27.615	39
06/11/2009 16:19:32.361	16
06/11/2009 16:19:37.391	27
06/11/2009 16:19:42.737	30
06/11/2009 16:19:47.359	41
06/11/2009 16:19:52.365	32
06/11/2009 16:19:57.376	31
06/11/2009 16:20:02.368	25
06/11/2009 16:20:07.375	22
06/11/2009 16:20:12.359	19
06/11/2009 16:20:22.364	18
06/11/2009 16:20:32.370	19
06/11/2009 16:20:37.383	24
06/11/2009 16:20:42.366	17
06/11/2009 16:20:47.515	29
06/11/2009 16:20:52.399	23
06/11/2009 16:20:59.778	26
06/11/2009 16:21:03.986	36
06/11/2009 16:21:08.162	29
06/11/2009 16:21:12.832	37
06/11/2009 16:21:22.754	25
06/11/2009 16:21:27.666	41
06/11/2009 16:21:32.433	21
06/11/2009 16:21:37.452	24
06/11/2009 16:21:43.209	23
06/11/2009 16:21:47.434	18
06/11/2009 16:21:57.452	21
06/11/2009 16:22:02.451	15
06/11/2009 16:22:07.455	13
06/11/2009 16:22:17.467	25
06/11/2009 16:22:22.468	17
06/11/2009 16:22:27.466	15
06/11/2009 16:22:32.463	33
06/11/2009 16:22:37.457	22
06/11/2009 16:22:42.473	26
06/11/2009 16:22:47.460	25
06/11/2009 16:22:52.546	42
06/11/2009 16:22:57.561	27
06/11/2009 16:23:02.463	43
06/11/2009 16:23:07.472	26
06/11/2009 16:23:12.540	35
06/11/2009 16:23:17.473	31
06/11/2009 16:23:22.505	27
06/11/2009 16:23:27.468	32
06/11/2009 16:23:32.526	28
06/11/2009 16:23:37.499	24
06/11/2009 16:23:42.475	16
06/11/2009 16:23:47.474	14
06/11/2009 16:23:52.486	29
06/11/2009 16:23:57.479	23
06/11/2009 16:24:02.499	22
06/11/2009 16:24:07.485	20
06/11/2009 16:24:12.503	18
06/11/2009 16:24:17.484	21
06/11/2009 16:24:22.501	23
06/11/2009 16:24:27.499	31
06/11/2009 16:24:32.510	29
06/11/2009 16:24:37.509	26
06/11/2009 16:24:42.504	34
06/11/2009 16:24:48.602	42
06/11/2009 16:24:52.528	34
06/11/2009 16:24:57.532	31
06/11/2009 16:25:02.798	24
06/11/2009 16:25:07.529	25
06/11/2009 16:25:12.533	34
06/11/2009 16:25:17.759	33
06/11/2009 16:25:22.521	28
06/11/2009 16:25:27.531	31
06/11/2009 16:25:32.541	37
06/11/2009 16:25:37.547	20
06/11/2009 16:25:42.534	19
06/11/2009 16:25:47.551	16
06/11/2009 16:25:52.532	19
06/11/2009 16:25:57.540	27
06/11/2009 16:26:02.559	19
06/11/2009 16:26:07.555	22
06/11/2009 16:26:22.585	29
06/11/2009 16:26:27.586	27
06/11/2009 16:26:32.712	28
06/11/2009 16:26:37.639	13
06/11/2009 16:26:42.559	41
06/11/2009 16:26:47.570	26
06/11/2009 16:26:52.676	25
06/11/2009 16:26:58.173	32
06/11/2009 16:27:02.616	22
06/11/2009 16:27:07.588	18
06/11/2009 16:27:12.582	19
06/11/2009 16:27:17.575	16
06/11/2009 16:27:22.581	25
06/11/2009 16:27:27.581	18
06/11/2009 16:27:32.608	17
06/11/2009 16:27:37.600	23
06/11/2009 16:27:42.592	15
06/11/2009 16:27:47.606	23
06/11/2009 16:27:52.596	28
06/11/2009 16:27:57.679	20
06/11/2009 16:28:02.618	22
06/11/2009 16:28:07.601	21
06/11/2009 16:28:12.608	28
06/11/2009 16:28:17.607	26
06/11/2009 16:28:22.632	30
06/11/2009 16:28:28.936	35
06/11/2009 16:28:32.694	33
06/11/2009 16:28:37.817	34
06/11/2009 16:28:42.614	38
06/11/2009 16:28:47.899	33
06/11/2009 16:28:58.355	37
06/11/2009 16:29:02.620	24
06/11/2009 16:29:07.647	27
06/11/2009 16:29:12.615	12
06/11/2009 16:29:17.620	23
06/11/2009 16:29:22.630	22
06/11/2009 16:29:27.746	34
06/11/2009 16:29:32.638	27
06/11/2009 16:29:42.658	23
06/11/2009 16:29:47.659	36
06/11/2009 16:29:52.647	28
06/11/2009 16:29:57.639	27
06/11/2009 16:30:02.697	31
06/11/2009 16:30:07.640	30
06/11/2009 16:30:13.410	29
06/11/2009 16:30:17.980	36
06/11/2009 16:30:22.718	50
06/11/2009 16:30:27.688	51
06/11/2009 16:30:32.686	44
06/11/2009 16:30:37.671	28
06/11/2009 16:30:42.974	34
06/11/2009 16:30:47.906	37
06/11/2009 16:30:53.147	36
06/11/2009 16:30:58.145	46
06/11/2009 16:31:02.714	28
06/11/2009 16:31:07.688	11
06/11/2009 16:31:12.701	10
06/11/2009 16:31:17.702	2
06/11/2009 16:31:22.699	11
06/11/2009 16:31:27.709	12
06/11/2009 16:31:32.706	18
06/11/2009 16:31:37.777	25
06/11/2009 16:31:42.715	24
06/11/2009 16:31:47.758	18
06/11/2009 16:31:52.720	39
06/11/2009 16:31:57.735	18
06/11/2009 16:32:02.733	36
06/11/2009 16:32:07.726	26
06/11/2009 16:32:13.425	56
06/11/2009 16:32:17.737	43
06/11/2009 16:32:27.958	38
06/11/2009 16:32:33.300	42
06/11/2009 16:32:37.738	30
06/11/2009 16:32:42.761	23
06/11/2009 16:32:47.886	38
06/11/2009 16:32:52.734	20
06/11/2009 16:32:57.736	36
06/11/2009 16:33:02.744	18
06/11/2009 16:33:07.767	23
06/11/2009 16:33:12.742	16
06/11/2009 16:33:17.761	19
06/11/2009 16:33:22.754	39
06/11/2009 16:33:27.763	14
06/11/2009 16:33:32.765	17
06/11/2009 16:33:37.769	11
06/11/2009 16:33:42.776	16
06/11/2009 16:33:53.679	31
06/11/2009 16:33:58.838	25
06/11/2009 16:34:02.789	27
06/11/2009 16:34:08.556	28
06/11/2009 16:34:12.996	19
06/11/2009 16:34:17.773	34
06/11/2009 16:34:23.446	33
06/11/2009 16:34:27.889	22
06/11/2009 16:34:32.882	15
06/11/2009 16:34:38.188	11
06/11/2009 16:34:42.786	25
06/11/2009 16:34:47.783	31
06/11/2009 16:34:52.806	34
06/11/2009 16:34:57.802	27
06/11/2009 16:35:02.795	22
06/11/2009 16:35:07.803	38
06/11/2009 16:35:12.801	28
06/11/2009 16:35:17.788	26
06/11/2009 16:35:27.808	23
06/11/2009 16:35:32.825	11
06/11/2009 16:35:37.816	10
06/11/2009 16:35:43.688	20
06/11/2009 16:35:47.827	23
06/11/2009 16:35:52.903	18
06/11/2009 16:36:02.925	28
06/11/2009 16:36:07.835	27
06/11/2009 16:36:12.841	19
06/11/2009 16:36:18.104	38
06/11/2009 16:36:23.612	40
06/11/2009 16:36:27.926	26
06/11/2009 16:36:32.842	36
06/11/2009 16:36:37.850	21
06/11/2009 16:36:42.864	28
06/11/2009 16:36:47.849	17
06/11/2009 16:36:52.877	12
06/11/2009 16:36:57.875	23
06/11/2009 16:37:02.857	14
06/11/2009 16:37:07.861	12
06/11/2009 16:37:22.887	32
06/11/2009 16:37:27.883	33
06/11/2009 16:37:34.218	38
06/11/2009 16:37:38.585	39
06/11/2009 16:37:42.929	23
06/11/2009 16:37:47.904	22
06/11/2009 16:37:52.933	28
06/11/2009 16:37:58.044	33
06/11/2009 16:38:02.962	47
06/11/2009 16:38:08.051	31
06/11/2009 16:38:12.926	17
06/11/2009 16:38:18.044	33
06/11/2009 16:38:22.923	31
06/11/2009 16:38:27.938	25
06/11/2009 16:38:32.941	28
06/11/2009 16:38:37.933	19
06/11/2009 16:38:42.941	18
06/11/2009 16:38:47.931	10
06/11/2009 16:38:52.941	17
06/11/2009 16:38:57.949	24
06/11/2009 16:39:02.941	19
06/11/2009 16:39:07.944	11
06/11/2009 16:39:12.943	13
06/11/2009 16:39:17.944	8
06/11/2009 16:39:23.277	24
06/11/2009 16:39:28.343	31
06/11/2009 16:39:33.437	47
06/11/2009 16:39:38.047	55
06/11/2009 16:39:44.442	33
06/11/2009 16:39:48.722	51
06/11/2009 16:39:52.962	1
06/11/2009 16:39:58.115	52
06/11/2009 16:40:03.069	28
06/11/2009 16:40:07.963	40
06/11/2009 16:40:17.976	36
06/11/2009 16:40:22.960	28
06/11/2009 16:40:27.979	22
06/11/2009 16:40:32.968	21
06/11/2009 16:40:37.981	10
06/11/2009 16:40:47.974	14
06/11/2009 16:40:52.970	16
06/11/2009 16:40:57.973	9
06/11/2009 16:41:02.984	14
06/11/2009 16:41:07.984	25
06/11/2009 16:41:12.991	17
06/11/2009 16:41:17.996	30
06/11/2009 16:41:23.132	32
06/11/2009 16:41:28.322	45
06/11/2009 16:41:33.002	36
06/11/2009 16:41:38.209	11
06/11/2009 16:41:43.000	16
06/11/2009 16:41:47.996	10
06/11/2009 16:41:53.319	7
06/11/2009 16:41:59.492	12
06/11/2009 16:42:03.394	13
06/11/2009 16:42:13.021	6
06/11/2009 16:42:28.025	5
06/11/2009 16:42:33.015	10
06/11/2009 16:42:38.017	6
06/11/2009 16:42:43.025	11
06/11/2009 16:42:48.025	6
06/11/2009 16:42:53.016	5
06/11/2009 16:42:58.031	8
06/11/2009 16:43:08.032	5
06/11/2009 16:43:13.039	2
06/11/2009 16:43:18.035	3
06/11/2009 16:43:23.042	1
06/11/2009 16:43:33.106	2
06/11/2009 16:43:38.049	1
06/11/2009 16:43:48.091	3
06/11/2009 16:43:53.079	1
06/11/2009 16:44:03.042	4
06/11/2009 16:44:08.054	2
06/11/2009 16:44:13.047	0
06/11/2009 16:44:18.054	1
06/11/2009 16:44:23.055	0
06/11/2009 16:44:28.058	1
06/11/2009 16:44:33.065	2
06/11/2009 16:44:38.075	0
06/11/2009 16:44:43.071	1
06/11/2009 16:44:58.080	0
06/11/2009 16:45:03.099	2
06/11/2009 16:45:08.083	1
06/11/2009 16:45:13.098	2
06/11/2009 16:45:18.090	4
06/11/2009 16:45:23.079	2
06/11/2009 16:45:28.479	1
06/11/2009 16:45:33.385	5
06/11/2009 16:45:38.213	1
06/11/2009 16:45:48.080	3
06/11/2009 16:45:53.198	2
06/11/2009 16:45:58.105	6
06/11/2009 16:46:03.106	2
06/11/2009 16:46:08.097	1
06/11/2009 16:46:18.108	5
06/11/2009 16:46:23.115	2
06/11/2009 16:46:28.103	0
06/11/2009 16:46:33.111	2
06/11/2009 16:46:38.112	1
06/11/2009 16:46:43.123	0
06/11/2009 16:46:48.127	1
06/11/2009 16:46:53.107	0
06/11/2009 16:46:58.216	1
06/11/2009 16:47:03.308	4
06/11/2009 16:47:08.745	1
06/11/2009 16:47:18.265	3
06/11/2009 16:47:23.137	1
06/11/2009 16:47:28.154	3
06/11/2009 16:47:33.186	6
06/11/2009 16:47:38.171	2
06/11/2009 16:47:43.127	1
06/11/2009 16:47:48.141	2
06/11/2009 16:47:53.140	0
06/11/2009 16:48:03.136	2
06/11/2009 16:48:08.147	0
06/11/2009 16:48:18.146	1
06/11/2009 16:48:23.159	0
06/11/2009 16:48:28.156	1
06/11/2009 16:48:33.158	2
06/11/2009 16:48:38.155	1
06/11/2009 16:48:48.159	2
06/11/2009 16:48:58.155	1
06/11/2009 16:49:03.306	3
06/11/2009 16:49:08.167	1
06/11/2009 16:49:18.169	2
06/11/2009 16:49:28.182	1
06/11/2009 16:49:33.190	3
06/11/2009 16:49:43.174	2
06/11/2009 16:49:48.189	1
06/11/2009 16:49:53.178	0
06/11/2009 16:50:03.176	4
06/11/2009 16:50:08.200	1
06/11/2009 16:50:13.177	0
06/11/2009 16:50:18.181	1
06/11/2009 16:50:33.189	2
06/11/2009 16:50:38.190	1
06/11/2009 16:50:43.525	2
06/11/2009 16:50:53.410	4
06/11/2009 16:50:58.209	2
06/11/2009 16:51:03.311	3
06/11/2009 16:51:08.840	1
06/11/2009 16:51:13.227	2
06/11/2009 16:51:19.094	4
06/11/2009 16:51:23.204	2
06/11/2009 16:51:28.567	1
06/11/2009 16:51:33.794	6
06/11/2009 16:51:38.229	1
06/11/2009 16:51:43.214	0
06/11/2009 16:51:48.230	1
06/11/2009 16:51:53.221	0
06/11/2009 16:51:58.221	1
06/11/2009 16:52:03.233	2
06/11/2009 16:52:08.229	1
06/11/2009 16:52:18.243	2
06/11/2009 16:52:23.226	1
06/11/2009 16:52:34.400	3
06/11/2009 16:52:38.287	2
06/11/2009 16:52:43.246	1
06/11/2009 16:52:48.390	3
06/11/2009 16:52:53.253	1
06/11/2009 16:52:58.250	3
06/11/2009 16:53:03.376	9
06/11/2009 16:53:08.259	1
06/11/2009 16:53:23.323	2
06/11/2009 16:53:29.032	1
06/11/2009 16:53:33.267	6
06/11/2009 16:53:38.263	0
06/11/2009 16:53:48.254	1
06/11/2009 16:53:58.344	0
06/11/2009 16:54:03.280	2
06/11/2009 16:54:13.282	1
06/11/2009 16:54:23.268	0
06/11/2009 16:54:33.481	3
06/11/2009 16:54:38.295	1
06/11/2009 16:54:48.283	2
06/11/2009 16:54:53.281	1
06/11/2009 16:55:03.290	4
06/11/2009 16:55:08.287	1
06/11/2009 16:55:13.286	2
06/11/2009 16:55:18.309	4
06/11/2009 16:55:23.302	2
06/11/2009 16:55:33.300	3
06/11/2009 16:55:38.666	2
